tournament,matchup_id,map_id,map_number,patch,phase,team_name,team_tag,winner,length,length_sec,side,position,ban_rotation,ban,pick_rotation,pick,is_blind,role,player,kills,deaths,assists,dmg_dealt,dmg_taken,total_gold
Scrim Aspira,1,1,1,5.0a,scrim,Team Aspira,ASP,true,14:22,862,blue,1,1,Kassadin,B1,Ornn,true,sup,Pilo,2,2,17,0,0,9235
Scrim Aspira,1,1,1,5.0a,scrim,Team Aspira,ASP,true,14:22,862,blue,2,1,Syndra,B2/B3,Ezreal,false,dragon,Kimmyzoca,6,2,9,0,0,11095
Scrim Aspira,1,1,1,5.0a,scrim,Team Aspira,ASP,true,14:22,862,blue,3,1,Soraka,B2/B3,Camille,true,baron,Pacheco,3,1,5,0,0,11077
Scrim Aspira,1,1,1,5.0a,scrim,Team Aspira,ASP,true,14:22,862,blue,4,2,Jax,B4/B5,Orianna,false,mid,OMP,6,1,12,0,0,12320
Scrim Aspira,1,1,1,5.0a,scrim,Team Aspira,ASP,true,14:22,862,blue,5,2,Renekton,B4/B5,Kha'Zix,true,jungle,Aspira,3,0,9,0,0,13402
Scrim Aspira,1,1,1,5.0a,scrim,Undefined Team,None,false,14:22,862,red,1,1,Hecarim,R1/R2,Thresh,false,sup,UNK Support,0,7,5,0,0,7401
Scrim Aspira,1,1,1,5.0a,scrim,Undefined Team,None,false,14:22,862,red,2,1,Volibear,R1/R2,Zeri,true,dragon,UNK AdCarry,2,3,3,0,0,10062
Scrim Aspira,1,1,1,5.0a,scrim,Undefined Team,None,false,14:22,862,red,3,1,Aurelion Sol,R3,Akali,true,mid,UNK Mid,3,4,0,0,0,9595
Scrim Aspira,1,1,1,5.0a,scrim,Undefined Team,None,false,14:22,862,red,4,2,Gwen,R4,Shen,false,baron,UNK Top,0,5,3,0,0,6799
Scrim Aspira,1,1,1,5.0a,scrim,Undefined Team,None,false,14:22,862,red,5,2,Galio,R5,Vi,false,jungle,UNK Jungle,1,4,4,0,0,8995
Scrim Aspira,1,2,2,5.0a,scrim,Team Aspira,ASP,false,17:15,1035,blue,1,1,Kassadin,B1,Camille,true,baron,Pacheco,3,2,3,0,0,11028
